query,google_url,bing_url,duckduckgo_url,your_top_result
education system,https://www.google.com/search?q=education+system,https://www.bing.com/search?q=education+system,https://duckduckgo.com/?q=education+system,Education policy 2O1O: Keeping the promise
শিক্ষা,https://www.google.com/search?q=শিক্ষা,https://www.bing.com/search?q=শিক্ষা,https://duckduckgo.com/?q=শিক্ষা,‘হ্যাঁ’ ভোট দিতে সব শিক্ষা প্রতিষ্ঠানে প্রচারণা চালানোর সিদ্...
Prime Minister,https://www.google.com/search?q=Prime+Minister,https://www.bing.com/search?q=Prime+Minister,https://duckduckgo.com/?q=Prime+Minister,Pak PM to make 'private' India visit
prison protest,https://www.google.com/search?q=prison+protest,https://www.bing.com/search?q=prison+protest,https://duckduckgo.com/?q=prison+protest,First arrest in Hong Kong after 'anti-protest law' implement...
অর্থনীতি,https://www.google.com/search?q=অর্থনীতি,https://www.bing.com/search?q=অর্থনীতি,https://duckduckgo.com/?q=অর্থনীতি,অর্থনীতির চ্যালেঞ্জ নিয়ে যা বলছে বৈশ্বিক গণমাধ্যম
